month,1980,1981,1982
1,588.642613069,441.481959802,441.481959802
2,441.481959802,441.481959802,441.481959802
3,441.481959802,1177.28522614,441.481959802
4,441.481959802,1471.60653267,294.321306534
5,1177.28522614,294.321306534,68429.7037692
6,882.963919603,294.321306534,294.321306534
7,15746.1898996,24428.6684424,294.321306534
8,735.803266336,294.321306534,64456.366131
9,882.963919603,49298.8188445,294.321306534
10,441.481959802,588.642613069,588.642613069
11,147.160653267,588.642613069,147.160653267
12,147.160653267,735.803266336,147.160653267
