month,1980,1981,1982
1,1.66634847848,1.09388831648,1.85076678956
2,1.162755395,1.83495557419,2.39269435637
3,1.74643317715,3.49224536808,2.68143961123
4,2.15003410754,8.34718347154,2.06209334156
5,5.6995333088,1.76298444661,265.563956168
6,3.43937798977,1.74864639687,1.12793658268
7,65.2963297607,95.2894411842,1.10548900158
8,2.26218580499,1.15074515029,256.818524668
9,2.87011362475,214.484014879,0.949974131955
10,1.63018701437,1.95298120259,1.99510526008
11,0.584016839136,2.33746984102,0.701443705771
12,0.562192279896,2.3215546398,0.551999296388
