lon,lat,time,pre,stn,spi_1,spi_3,spi_6,spi_9,spi_12
-74.75,3.75,1980-01-16,122.1,8.0,-0.22496607505943506,,,,
-74.75,3.75,1980-02-15,174.0,8.0,0.3636961987661076,,,,
-74.75,3.75,1980-03-16,65.1,8.0,-1.1222188883723092,-0.49300590383483134,,,
-74.75,3.75,1980-04-16,159.40001,8.0,0.2115890825294781,-0.2712351266460935,,,
-74.75,3.75,1980-05-16,100.0,8.0,-0.5284751299962979,-0.727040662815122,,,
-74.75,3.75,1980-06-16,135.7,8.0,-0.05652997254919147,-0.29085065149024175,-0.8145709706025676,,
-74.75,3.75,1980-07-16,42.3,8.0,-1.6505982187994284,-1.0514257448495796,-1.2331545382417632,,
-74.75,3.75,1980-08-16,75.9,8.0,-0.9184102057908349,-1.2346463666486398,-1.7970952738606993,,
-74.75,3.75,1980-09-16,101.8,8.0,-0.5021159033781502,-1.5143557152686862,-1.578903958144253,-1.6619641342628453,
-74.75,3.75,1980-10-16,196.0,8.0,0.5777078700896715,-0.41702040077102875,-1.3700948120614622,-1.3437792773090649,
-74.75,3.75,1980-11-16,179.3,8.0,0.41681479825599643,0.15382024037384986,-0.9438731352279545,-1.3215564209333888,
-74.75,3.75,1980-12-16,252.0,8.0,1.0595945827668987,0.8512780656136971,-0.37239040702704496,-0.5821938259438639,-0.9763067329738352
-74.75,3.75,1981-01-16,27.6,8.0,-2.119209389065693,0.059839449931670924,-0.4415704737560897,-1.0949163079211306,-1.3301415656019873
-74.75,3.75,1981-02-15,107.8,8.0,-0.41651601509801933,-0.3357013467682878,-0.29246280396362356,-1.0634562186285206,-1.5870807095340649
-74.75,3.75,1981-03-16,122.1,8.0,-0.22496607505943506,-1.2065242286400073,-0.19949266207789887,-1.1184071821360178,-1.365383864047598
-74.75,3.75,1981-04-16,285.9,8.0,1.3183966175725694,0.34599912262572635,0.1959010649975124,-0.1958875088248897,-0.8930629466367339
-74.75,3.75,1981-05-16,304.0,8.0,1.4486408660262302,1.1970734352784456,0.7060629631383876,0.5712971219681946,-0.18106253935668795
-74.75,3.75,1981-06-16,129.90001,8.0,-0.12689260519277024,1.2275508913706168,0.20696755388697258,0.6605865449148697,-0.2005497673277026
-74.75,3.75,1981-07-16,62.7,8.0,-1.1707601329095443,0.2518988646792391,0.3544809156302855,0.22733891770413658,-0.13219130220575323
-74.75,3.75,1981-08-16,97.3,8.0,-0.5686385461237944,-0.9650278959277214,0.31071375035373383,-0.05228358740791015,-0.06102290443193501
-74.75,3.75,1981-09-16,98.700005,8.0,-0.5477177133205868,-1.197211544462978,0.21206829106780972,-0.6062174512008853,-0.07129843280393657
