time,lat,lon,pre
1901-01-16,3.75,-74.75,42.9
1901-01-16,3.75,-74.25,18.5
1901-01-16,3.75,-73.75,41.3
1901-01-16,3.75,-73.25,16.2
1901-01-16,4.25,-74.75,36.600002
1901-01-16,4.25,-74.25,14.900001
1901-01-16,4.25,-73.75,36.3
1901-01-16,4.25,-73.25,12.6
1901-01-16,4.75,-74.75,29.4
1901-01-16,4.75,-74.25,23.5
1901-01-16,4.75,-73.75,11.1
1901-01-16,4.75,-73.25,16.300001
1901-01-16,5.25,-74.75,35.7
1901-01-16,5.25,-74.25,43.100002
1901-01-16,5.25,-73.75,10.0
1901-01-16,5.25,-73.25,5.5
1901-02-15,3.75,-74.75,89.3
1901-02-15,3.75,-74.25,46.7
1901-02-15,3.75,-73.75,116.6
1901-02-15,3.75,-73.25,47.2
1901-02-15,4.25,-74.75,92.5
1901-02-15,4.25,-74.25,40.5
1901-02-15,4.25,-73.75,97.700005
1901-02-15,4.25,-73.25,71.3
1901-02-15,4.75,-74.75,83.3
1901-02-15,4.75,-74.25,71.0
1901-02-15,4.75,-73.75,34.3
1901-02-15,4.75,-73.25,55.9
1901-02-15,5.25,-74.75,96.6
1901-02-15,5.25,-74.25,103.9
1901-02-15,5.25,-73.75,29.1
1901-02-15,5.25,-73.25,16.2
1901-03-16,3.75,-74.75,114.6
1901-03-16,3.75,-74.25,68.200005
1901-03-16,3.75,-73.75,192.6
1901-03-16,3.75,-73.25,110.200005
1901-03-16,4.25,-74.75,116.6
1901-03-16,4.25,-74.25,53.5
1901-03-16,4.25,-73.75,158.3
1901-03-16,4.25,-73.25,102.5
1901-03-16,4.75,-74.75,110.0
1901-03-16,4.75,-74.25,67.9
1901-03-16,4.75,-73.75,48.4
1901-03-16,4.75,-73.25,100.1
1901-03-16,5.25,-74.75,136.5
1901-03-16,5.25,-74.25,115.700005
1901-03-16,5.25,-73.75,47.100002
1901-03-16,5.25,-73.25,31.4
1901-04-16,3.75,-74.75,83.200005
1901-04-16,3.75,-74.25,53.600002
1901-04-16,3.75,-73.75,212.1
1901-04-16,3.75,-73.25,131.3
1901-04-16,4.25,-74.75,89.6
1901-04-16,4.25,-74.25,45.4
1901-04-16,4.25,-73.75,131.40001
1901-04-16,4.25,-73.25,145.2
1901-04-16,4.75,-74.75,72.5
1901-04-16,4.75,-74.25,50.9
1901-04-16,4.75,-73.75,46.4
1901-04-16,4.75,-73.25,100.4
1901-04-16,5.25,-74.75,87.9
1901-04-16,5.25,-74.25,89.5
1901-04-16,5.25,-73.75,40.8
1901-04-16,5.25,-73.25,40.4
1901-05-16,3.75,-74.75,121.9
1901-05-16,3.75,-74.25,116.9
1901-05-16,3.75,-73.75,410.5
1901-05-16,3.75,-73.25,260.30002
1901-05-16,4.25,-74.75,159.6
1901-05-16,4.25,-74.25,95.5
1901-05-16,4.25,-73.75,345.5
1901-05-16,4.25,-73.25,311.4
1901-05-16,4.75,-74.75,128.90001
1901-05-16,4.75,-74.25,101.0
1901-05-16,4.75,-73.75,87.200005
1901-05-16,4.75,-73.25,280.9
1901-05-16,5.25,-74.75,174.7
1901-05-16,5.25,-74.25,172.6
1901-05-16,5.25,-73.75,63.100002
1901-05-16,5.25,-73.25,98.6
1901-06-16,3.75,-74.75,32.2
1901-06-16,3.75,-74.25,46.600002
1901-06-16,3.75,-73.75,160.8
1901-06-16,3.75,-73.25,108.6
1901-06-16,4.25,-74.75,34.8
1901-06-16,4.25,-74.25,33.7
1901-06-16,4.25,-73.75,154.40001
1901-06-16,4.25,-73.25,122.200005
1901-06-16,4.75,-74.75,29.7
1901-06-16,4.75,-74.25,23.800001
1901-06-16,4.75,-73.75,35.8
1901-06-16,4.75,-73.25,130.40001
1901-06-16,5.25,-74.75,38.4
1901-06-16,5.25,-74.25,38.7
1901-06-16,5.25,-73.75,21.5
1901-06-16,5.25,-73.25,46.4
1901-07-16,3.75,-74.75,120.700005
1901-07-16,3.75,-74.25,271.5
1901-07-16,3.75,-73.75,815.2
1901-07-16,3.75,-73.25,534.60004
1901-07-16,4.25,-74.75,116.700005
1901-07-16,4.25,-74.25,191.6
1901-07-16,4.25,-73.75,1016.8
1901-07-16,4.25,-73.25,642.0
1901-07-16,4.75,-74.75,106.6
1901-07-16,4.75,-74.25,100.0
1901-07-16,4.75,-73.75,211.90001
1901-07-16,4.75,-73.25,764.60004
1901-07-16,5.25,-74.75,170.3
1901-07-16,5.25,-74.25,174.40001
1901-07-16,5.25,-73.75,111.700005
1901-07-16,5.25,-73.25,290.30002
1901-08-16,3.75,-74.75,190.2
1901-08-16,3.75,-74.25,337.9
1901-08-16,3.75,-73.75,1185.3
1901-08-16,3.75,-73.25,700.7
1901-08-16,4.25,-74.75,205.6
1901-08-16,4.25,-74.25,224.40001
1901-08-16,4.25,-73.75,1183.4
1901-08-16,4.25,-73.25,787.4
1901-08-16,4.75,-74.75,182.8
1901-08-16,4.75,-74.25,152.3
1901-08-16,4.75,-73.75,258.0
1901-08-16,4.75,-73.25,1040.5
1901-08-16,5.25,-74.75,296.80002
1901-08-16,5.25,-74.25,293.5
1901-08-16,5.25,-73.75,159.5
1901-08-16,5.25,-73.25,381.2
1901-09-16,3.75,-74.75,73.200005
1901-09-16,3.75,-74.25,76.1
1901-09-16,3.75,-73.75,292.7
1901-09-16,3.75,-73.25,187.5
1901-09-16,4.25,-74.75,95.5
1901-09-16,4.25,-74.25,57.4
1901-09-16,4.25,-73.75,227.1
1901-09-16,4.25,-73.25,200.0
1901-09-16,4.75,-74.75,88.6
1901-09-16,4.75,-74.25,91.200005
1901-09-16,4.75,-73.75,54.0
1901-09-16,4.75,-73.25,214.6
1901-09-16,5.25,-74.75,138.0
1901-09-16,5.25,-74.25,131.2
1901-09-16,5.25,-73.75,45.4
1901-09-16,5.25,-73.25,72.4
1901-10-16,3.75,-74.75,339.80002
1901-10-16,3.75,-74.25,231.1
1901-10-16,3.75,-73.75,692.7
1901-10-16,3.75,-73.25,413.4
1901-10-16,4.25,-74.75,361.1
1901-10-16,4.25,-74.25,198.8
1901-10-16,4.25,-73.75,455.5
1901-10-16,4.25,-73.25,492.30002
1901-10-16,4.75,-74.75,336.5
1901-10-16,4.75,-74.25,201.6
1901-10-16,4.75,-73.75,168.40001
1901-10-16,4.75,-73.25,367.5
1901-10-16,5.25,-74.75,467.7
1901-10-16,5.25,-74.25,349.0
1901-10-16,5.25,-73.75,169.6
1901-10-16,5.25,-73.25,156.3
1901-11-16,3.75,-74.75,478.1
1901-11-16,3.75,-74.25,233.1
1901-11-16,3.75,-73.75,727.8
1901-11-16,3.75,-73.25,311.30002
1901-11-16,4.25,-74.75,383.4
1901-11-16,4.25,-74.25,186.40001
1901-11-16,4.25,-73.75,395.80002
1901-11-16,4.25,-73.25,426.4
1901-11-16,4.75,-74.75,347.6
1901-11-16,4.75,-74.25,201.3
1901-11-16,4.75,-73.75,158.40001
1901-11-16,4.75,-73.25,292.4
1901-11-16,5.25,-74.75,461.1
1901-11-16,5.25,-74.25,355.9
1901-11-16,5.25,-73.75,163.0
1901-11-16,5.25,-73.25,135.6
1901-12-16,3.75,-74.75,144.5
1901-12-16,3.75,-74.25,41.600002
1901-12-16,3.75,-73.75,208.90001
1901-12-16,3.75,-73.25,60.4
1901-12-16,4.25,-74.75,101.4
1901-12-16,4.25,-74.25,39.8
1901-12-16,4.25,-73.75,101.200005
1901-12-16,4.25,-73.25,79.200005
1901-12-16,4.75,-74.75,90.9
1901-12-16,4.75,-74.25,52.600002
1901-12-16,4.75,-73.75,35.9
1901-12-16,4.75,-73.25,71.1
1901-12-16,5.25,-74.75,121.6
1901-12-16,5.25,-74.25,105.3
1901-12-16,5.25,-73.75,32.7
1901-12-16,5.25,-73.25,25.7
1902-01-16,3.75,-74.75,247.3
1902-01-16,3.75,-74.25,109.8
1902-01-16,3.75,-73.75,244.1
1902-01-16,3.75,-73.25,90.6
1902-01-16,4.25,-74.75,220.5
1902-01-16,4.25,-74.25,90.5
1902-01-16,4.25,-73.75,221.2
1902-01-16,4.25,-73.25,74.8
1902-01-16,4.75,-74.75,178.2
1902-01-16,4.75,-74.25,143.40001
