time,longitude,latitude,tp
1980-01-01,-73.7,4.6,5.776338
1980-02-01,-73.7,4.6,4.533023
1980-03-01,-73.7,4.6,9.473853
1980-04-01,-73.7,4.6,11.349641
1980-05-01,-73.7,4.6,10.287419
1980-06-01,-73.7,4.6,9.792789
1980-07-01,-73.7,4.6,8.111611
1980-08-01,-73.7,4.6,5.9493184
1980-09-01,-73.7,4.6,6.865591
1980-10-01,-73.7,4.6,7.9548435
1980-11-01,-73.7,4.6,6.849371
1980-12-01,-73.7,4.6,6.5088124
1981-01-01,-73.7,4.6,3.4491718
1981-02-01,-73.7,4.6,9.365738
1981-03-01,-73.7,4.6,8.022412
1981-04-01,-73.7,4.6,12.598366
1981-05-01,-73.7,4.6,13.309218
1981-06-01,-73.7,4.6,13.584911
1981-07-01,-73.7,4.6,10.187409
1981-08-01,-73.7,4.6,8.0548525
1981-09-01,-73.7,4.6,7.271022
1981-10-01,-73.7,4.6,7.04398
1981-11-01,-73.7,4.6,9.011663
1981-12-01,-73.7,4.6,6.800719
1982-01-01,-73.7,4.6,8.398115
1982-02-01,-73.7,4.6,12.563229
1982-03-01,-73.7,4.6,13.022714
1982-04-01,-73.7,4.6,15.501239
1982-05-01,-73.7,4.6,11.022597
1982-06-01,-73.7,4.6,8.4683895
1982-07-01,-73.7,4.6,8.057557
1982-08-01,-73.7,4.6,5.3654985
1982-09-01,-73.7,4.6,5.981751
1982-10-01,-73.7,4.6,7.8170004
1982-11-01,-73.7,4.6,9.241409
1982-12-01,-73.7,4.6,6.6763906
1983-01-01,-73.7,4.6,5.097918
1983-02-01,-73.7,4.6,6.4493494
1983-03-01,-73.7,4.6,8.662992
1983-04-01,-73.7,4.6,13.428144
1983-05-01,-73.7,4.6,8.935981
1983-06-01,-73.7,4.6,7.2196646
1983-07-01,-73.7,4.6,6.625034
1983-08-01,-73.7,4.6,7.1818233
1983-09-01,-73.7,4.6,4.130289
1983-10-01,-73.7,4.6,8.784622
1983-11-01,-73.7,4.6,6.238528
1983-12-01,-73.7,4.6,7.481843
1984-01-01,-73.7,4.6,12.287535
1984-02-01,-73.7,4.6,9.700894
1984-03-01,-73.7,4.6,9.679273
1984-04-01,-73.7,4.6,10.930695
1984-05-01,-73.7,4.6,9.149507
1984-06-01,-73.7,4.6,9.2765465
1984-07-01,-73.7,4.6,7.579148
1984-08-01,-73.7,4.6,8.065663
1984-09-01,-73.7,4.6,6.7926126
1984-10-01,-73.7,4.6,7.381834
1984-11-01,-73.7,4.6,8.652181
1984-12-01,-73.7,4.6,5.946614
1985-01-01,-73.7,4.6,8.403518
1985-02-01,-73.7,4.6,5.2411704
1985-03-01,-73.7,4.6,12.801081
1985-04-01,-73.7,4.6,11.909135
1985-05-01,-73.7,4.6,11.184767
1985-06-01,-73.7,4.6,12.103744
1985-07-01,-73.7,4.6,8.390009
